id,date,store,item,sales,description,size
48,2018-02-18,1,1,21.506679600715703,T-Shirts,XS
49,2018-02-19,1,1,12.395958347793956,T-Shirts,XS
50,2018-02-20,1,1,15.71707904954572,T-Shirts,XS
51,2018-02-21,1,1,15.93989163542328,T-Shirts,XS
52,2018-02-22,1,1,17.580809993997114,T-Shirts,XS
53,2018-02-23,1,1,18.159097533590156,T-Shirts,XS
54,2018-02-24,1,1,20.902932798818767,T-Shirts,XS
55,2018-02-25,1,1,22.040901418304628,T-Shirts,XS
56,2018-02-26,1,1,12.900875682043427,T-Shirts,XS
57,2018-02-27,1,1,16.20699710329739,T-Shirts,XS
58,2018-02-28,1,1,16.450465863483632,T-Shirts,XS
59,2018-03-01,1,1,19.259961166820947,T-Shirts,XS
60,2018-03-02,1,1,20.609441783652724,T-Shirts,XS
61,2018-03-03,1,1,22.22853396713905,T-Shirts,XS
62,2018-03-04,1,1,23.75720280644593,T-Shirts,XS
63,2018-03-05,1,1,14.575282686385432,T-Shirts,XS
64,2018-03-06,1,1,17.203967637366055,T-Shirts,XS
65,2018-03-07,1,1,18.21644933482465,T-Shirts,XS
66,2018-03-08,1,1,18.568148630069047,T-Shirts,XS
67,2018-03-09,1,1,20.42001104088113,T-Shirts,XS
68,2018-03-10,1,1,22.396516804065666,T-Shirts,XS
69,2018-03-11,1,1,23.464734068554577,T-Shirts,XS
70,2018-03-12,1,1,14.693276010581105,T-Shirts,XS
71,2018-03-13,1,1,18.07811030111706,T-Shirts,XS
72,2018-03-14,1,1,18.74837135832665,T-Shirts,XS
73,2018-03-15,1,1,19.26056277943488,T-Shirts,XS
74,2018-03-16,1,1,20.30096986033485,T-Shirts,XS
75,2018-03-17,1,1,23.03368381324071,T-Shirts,XS
76,2018-03-18,1,1,23.84780502244692,T-Shirts,XS
77,2018-03-19,1,1,14.944616694929069,T-Shirts,XS
78,2018-03-20,1,1,17.381395562101112,T-Shirts,XS
79,2018-03-21,1,1,18.69881860301877,T-Shirts,XS
80,2018-03-22,1,1,18.84106487309709,T-Shirts,XS
81,2018-03-23,1,1,20.629493547913683,T-Shirts,XS
82,2018-03-24,1,1,22.94642044884672,T-Shirts,XS
83,2018-03-25,1,1,23.298417981930328,T-Shirts,XS
84,2018-03-26,1,1,15.321976103971547,T-Shirts,XS
85,2018-03-27,1,1,17.539626908984395,T-Shirts,XS
86,2018-03-28,1,1,17.657596745569084,T-Shirts,XS
87,2018-03-29,1,1,19.14192679054198,T-Shirts,XS
88,2018-03-30,1,1,20.28954597277044,T-Shirts,XS
89,2018-03-31,1,1,23.48316297112489,T-Shirts,XS
90,2018-01-01,2,1,12.656765147679906,T-Shirts,XS
91,2018-01-02,2,1,14.971119242179768,T-Shirts,XS
92,2018-01-03,2,1,14.664931684452949,T-Shirts,XS
93,2018-01-04,2,1,17.679823802039724,T-Shirts,XS
94,2018-01-05,2,1,20.66490665792609,T-Shirts,XS
95,2018-01-06,2,1,21.9325196871912,T-Shirts,XS
96,2018-01-07,2,1,22.35240626283848,T-Shirts,XS
97,2018-01-08,2,1,12.967279680949844,T-Shirts,XS
98,2018-01-09,2,1,15.495160519890453,T-Shirts,XS
99,2018-01-10,2,1,14.726242454301811,T-Shirts,XS
100,2018-01-11,2,1,17.243403209238398,T-Shirts,XS
101,2018-01-12,2,1,20.429979738630863,T-Shirts,XS
102,2018-01-13,2,1,22.113981379005857,T-Shirts,XS
103,2018-01-14,2,1,22.346024057092077,T-Shirts,XS
104,2018-01-15,2,1,12.055984664993634,T-Shirts,XS
105,2018-01-16,2,1,15.52802392549468,T-Shirts,XS
106,2018-01-17,2,1,14.626950177222191,T-Shirts,XS
107,2018-01-18,2,1,16.833941539934074,T-Shirts,XS
108,2018-01-19,2,1,19.77689829425856,T-Shirts,XS
109,2018-01-20,2,1,22.478909753739508,T-Shirts,XS
110,2018-01-21,2,1,22.55418932921932,T-Shirts,XS
111,2018-01-22,2,1,12.032964961233972,T-Shirts,XS
112,2018-01-23,2,1,15.337384333518052,T-Shirts,XS
113,2018-01-24,2,1,15.823211475098518,T-Shirts,XS
114,2018-01-25,2,1,17.410774362783513,T-Shirts,XS
115,2018-01-26,2,1,20.465697302660278,T-Shirts,XS
116,2018-01-27,2,1,22.121659133332336,T-Shirts,XS
117,2018-01-28,2,1,22.719854364049752,T-Shirts,XS
118,2018-01-29,2,1,12.427106063323947,T-Shirts,XS
119,2018-01-30,2,1,15.077681138857605,T-Shirts,XS
120,2018-01-31,2,1,14.550997172196658,T-Shirts,XS
121,2018-02-01,2,1,23.39956874513785,T-Shirts,XS
122,2018-02-02,2,1,26.758236471727077,T-Shirts,XS
123,2018-02-03,2,1,27.851614366931408,T-Shirts,XS
124,2018-02-04,2,1,28.21646629116661,T-Shirts,XS
125,2018-02-05,2,1,18.492909113811194,T-Shirts,XS
126,2018-02-06,2,1,21.49568248863905,T-Shirts,XS
127,2018-02-07,2,1,20.67362271811802,T-Shirts,XS
128,2018-02-08,2,1,23.251017309679508,T-Shirts,XS
129,2018-02-09,2,1,26.65505763090958,T-Shirts,XS
130,2018-02-10,2,1,28.45044432710413,T-Shirts,XS
131,2018-02-11,2,1,28.01323257309465,T-Shirts,XS
132,2018-02-12,2,1,18.18133564084482,T-Shirts,XS
133,2018-02-13,2,1,21.371250955855214,T-Shirts,XS
134,2018-02-14,2,1,20.6179775061032,T-Shirts,XS
135,2018-02-15,2,1,23.038729466876283,T-Shirts,XS
136,2018-02-16,2,1,26.96886993685995,T-Shirts,XS
137,2018-02-17,2,1,28.55667216489703,T-Shirts,XS
138,2018-02-18,2,1,28.26825929865152,T-Shirts,XS
139,2018-02-19,2,1,18.001695631224685,T-Shirts,XS
140,2018-02-20,2,1,21.23678794868881,T-Shirts,XS
141,2018-02-21,2,1,21.054440502747408,T-Shirts,XS
142,2018-02-22,2,1,23.341070742463067,T-Shirts,XS
143,2018-02-23,2,1,26.185943986642837,T-Shirts,XS
144,2018-02-24,2,1,27.615581864886916,T-Shirts,XS
145,2018-02-25,2,1,28.81542055100597,T-Shirts,XS
146,2018-02-26,2,1,18.20749774516024,T-Shirts,XS
147,2018-02-27,2,1,21.32806825540805,T-Shirts,XS
148,2018-02-28,2,1,20.68449434550721,T-Shirts,XS
149,2018-03-01,2,1,32.415960046039146,T-Shirts,XS
150,2018-03-02,2,1,35.12295381484968,T-Shirts,XS
151,2018-03-03,2,1,36.7991863834188,T-Shirts,XS
152,2018-03-04,2,1,36.89194615422533,T-Shirts,XS
153,2018-03-05,2,1,27.240984405493545,T-Shirts,XS
154,2018-03-06,2,1,30.47920441381385,T-Shirts,XS
155,2018-03-07,2,1,29.30963478782821,T-Shirts,XS
156,2018-03-08,2,1,32.30293267039374,T-Shirts,XS
157,2018-03-09,2,1,35.23208401485184,T-Shirts,XS
158,2018-03-10,2,1,37.004233715970415,T-Shirts,XS
159,2018-03-11,2,1,37.28359686694774,T-Shirts,XS
160,2018-03-12,2,1,26.72858276958288,T-Shirts,XS
161,2018-03-13,2,1,29.96984539995767,T-Shirts,XS
162,2018-03-14,2,1,29.45319531550872,T-Shirts,XS
163,2018-03-15,2,1,32.07217673994464,T-Shirts,XS
164,2018-03-16,2,1,35.18073003713362,T-Shirts,XS
165,2018-03-17,2,1,36.73903999128902,T-Shirts,XS
166,2018-03-18,2,1,37.13195240014248,T-Shirts,XS
167,2018-03-19,2,1,26.743730276524477,T-Shirts,XS
168,2018-03-20,2,1,29.93644880777696,T-Shirts,XS
169,2018-03-21,2,1,29.75379075342701,T-Shirts,XS
170,2018-03-22,2,1,31.81665196972093,T-Shirts,XS
171,2018-03-23,2,1,35.09253947047358,T-Shirts,XS
172,2018-03-24,2,1,36.25420091348119,T-Shirts,XS
173,2018-03-25,2,1,37.35177296270852,T-Shirts,XS
174,2018-03-26,2,1,27.296815619270703,T-Shirts,XS
175,2018-03-27,2,1,30.098719798245316,T-Shirts,XS
176,2018-03-28,2,1,29.774425142034765,T-Shirts,XS
177,2018-03-29,2,1,32.16423214856079,T-Shirts,XS
178,2018-03-30,2,1,35.63147417855568,T-Shirts,XS
179,2018-03-31,2,1,36.39708647425635,T-Shirts,XS
180,2018-01-01,3,1,19.81363882480212,T-Shirts,XS
181,2018-01-02,3,1,23.2721315163895,T-Shirts,XS
182,2018-01-03,3,1,23.118608187065742,T-Shirts,XS
183,2018-01-04,3,1,24.7384299839814,T-Shirts,XS
184,2018-01-05,3,1,25.95497355151515,T-Shirts,XS
185,2018-01-06,3,1,29.022569967717903,T-Shirts,XS
186,2018-01-07,3,1,29.53704519088784,T-Shirts,XS
187,2018-01-08,3,1,19.867021432862323,T-Shirts,XS
188,2018-01-09,3,1,23.51650413680656,T-Shirts,XS
189,2018-01-10,3,1,23.24531551711402,T-Shirts,XS
190,2018-01-11,3,1,24.632181194044183,T-Shirts,XS
191,2018-01-12,3,1,26.3834417990914,T-Shirts,XS
192,2018-01-13,3,1,28.91183343713778,T-Shirts,XS
193,2018-01-14,3,1,29.573848832801566,T-Shirts,XS
194,2018-01-15,3,1,20.09896219540103,T-Shirts,XS
195,2018-01-16,3,1,23.603584955785504,T-Shirts,XS
196,2018-01-17,3,1,22.87627781950054,T-Shirts,XS
197,2018-01-18,3,1,24.53251812797704,T-Shirts,XS
198,2018-01-19,3,1,26.185575089748887,T-Shirts,XS
199,2018-01-20,3,1,28.84893595971424,T-Shirts,XS
200,2018-01-21,3,1,29.53256800220089,T-Shirts,XS
201,2018-01-22,3,1,20.023874754228203,T-Shirts,XS
202,2018-01-23,3,1,23.641836752267597,T-Shirts,XS
203,2018-01-24,3,1,23.22703712487024,T-Shirts,XS
204,2018-01-25,3,1,24.74828527398876,T-Shirts,XS
205,2018-01-26,3,1,26.260347336728632,T-Shirts,XS
206,2018-01-27,3,1,28.77924124887495,T-Shirts,XS
207,2018-01-28,3,1,29.56656859430646,T-Shirts,XS
208,2018-01-29,3,1,19.76050892391376,T-Shirts,XS
209,2018-01-30,3,1,23.73756602722917,T-Shirts,XS
210,2018-01-31,3,1,23.360556888497356,T-Shirts,XS
211,2018-02-01,3,1,26.329130375317444,T-Shirts,XS
212,2018-02-02,3,1,27.75871225733064,T-Shirts,XS
213,2018-02-03,3,1,30.588083251037887,T-Shirts,XS
214,2018-02-04,3,1,31.14239241446614,T-Shirts,XS
215,2018-02-05,3,1,21.498887633413272,T-Shirts,XS
216,2018-02-06,3,1,24.984593227051832,T-Shirts,XS
217,2018-02-07,3,1,24.58534905185252,T-Shirts,XS
218,2018-02-08,3,1,26.36804454336234,T-Shirts,XS
219,2018-02-09,3,1,27.96689229487843,T-Shirts,XS
220,2018-02-10,3,1,30.36551170075364,T-Shirts,XS
221,2018-02-11,3,1,31.370889099584403,T-Shirts,XS
222,2018-02-12,3,1,21.617773649946557,T-Shirts,XS
223,2018-02-13,3,1,25.255599628406927,T-Shirts,XS
224,2018-02-14,3,1,24.56910070830677,T-Shirts,XS
225,2018-02-15,3,1,26.19537794330652,T-Shirts,XS
226,2018-02-16,3,1,27.849730576076634,T-Shirts,XS
227,2018-02-17,3,1,30.324441968257325,T-Shirts,XS
228,2018-02-18,3,1,31.20087711650922,T-Shirts,XS
229,2018-02-19,3,1,21.152941248068306,T-Shirts,XS
230,2018-02-20,3,1,24.863472952482365,T-Shirts,XS
231,2018-02-21,3,1,24.791931335196733,T-Shirts,XS
232,2018-02-22,3,1,26.290683515294678,T-Shirts,XS
233,2018-02-23,3,1,27.868031100103696,T-Shirts,XS
234,2018-02-24,3,1,30.24217536239331,T-Shirts,XS
235,2018-02-25,3,1,31.12099081241529,T-Shirts,XS
236,2018-02-26,3,1,21.43581760355182,T-Shirts,XS
237,2018-02-27,3,1,24.95534039518652,T-Shirts,XS
238,2018-02-28,3,1,24.75587892146695,T-Shirts,XS
239,2018-03-01,3,1,28.60667253170396,T-Shirts,XS
240,2018-03-02,3,1,29.94926059816473,T-Shirts,XS
241,2018-03-03,3,1,32.80632066651539,T-Shirts,XS
242,2018-03-04,3,1,33.33764318482916,T-Shirts,XS
243,2018-03-05,3,1,23.46892454348667,T-Shirts,XS
244,2018-03-06,3,1,27.3615598508361,T-Shirts,XS
245,2018-03-07,3,1,26.931274450982595,T-Shirts,XS
246,2018-03-08,3,1,28.73463756226239,T-Shirts,XS
247,2018-03-09,3,1,30.26010790923695,T-Shirts,XS
248,2018-03-10,3,1,32.77588161101696,T-Shirts,XS
249,2018-03-11,3,1,33.69217083212423,T-Shirts,XS
250,2018-03-12,3,1,23.599862199908088,T-Shirts,XS
251,2018-03-13,3,1,27.37187639675751,T-Shirts,XS
252,2018-03-14,3,1,26.568802551129888,T-Shirts,XS
253,2018-03-15,3,1,28.390942419424015,T-Shirts,XS
254,2018-03-16,3,1,30.08778577404,T-Shirts,XS
255,2018-03-17,3,1,32.67552334723503,T-Shirts,XS
256,2018-03-18,3,1,33.09768369409129,T-Shirts,XS
257,2018-03-19,3,1,23.80259746089032,T-Shirts,XS
258,2018-03-20,3,1,27.162321038447807,T-Shirts,XS
259,2018-03-21,3,1,26.937130094708717,T-Shirts,XS
260,2018-03-22,3,1,28.128423238555296,T-Shirts,XS
261,2018-03-23,3,1,30.662460096723056,T-Shirts,XS
262,2018-03-24,3,1,32.81261835432952,T-Shirts,XS
263,2018-03-25,3,1,33.511989599414115,T-Shirts,XS
264,2018-03-26,3,1,23.94526853467032,T-Shirts,XS
265,2018-03-27,3,1,27.354789754379468,T-Shirts,XS
266,2018-03-28,3,1,26.638110099979517,T-Shirts,XS
267,2018-03-29,3,1,28.386584898927563,T-Shirts,XS
268,2018-03-30,3,1,30.201189960544447,T-Shirts,XS
269,2018-03-31,3,1,33.056617336368895,T-Shirts,XS
270,2018-01-01,4,1,7.079098798319468,T-Shirts,XS
271,2018-01-02,4,1,11.450687744197266,T-Shirts,XS
272,2018-01-03,4,1,11.106728759817464,T-Shirts,XS
273,2018-01-04,4,1,13.660610325168646,T-Shirts,XS
274,2018-01-05,4,1,14.735375601110558,T-Shirts,XS
275,2018-01-06,4,1,14.00441188589225,T-Shirts,XS
276,2018-01-07,4,1,17.415077843856334,T-Shirts,XS
277,2018-01-08,4,1,8.470081290224748,T-Shirts,XS
278,2018-01-09,4,1,11.26894355083134,T-Shirts,XS
279,2018-01-10,4,1,10.475334689923596,T-Shirts,XS
280,2018-01-11,4,1,13.33350367023048,T-Shirts,XS
281,2018-01-12,4,1,15.808545150805257,T-Shirts,XS
282,2018-01-13,4,1,15.490264745946767,T-Shirts,XS
283,2018-01-14,4,1,17.289090784488806,T-Shirts,XS
284,2018-01-15,4,1,7.95967390074572,T-Shirts,XS
285,2018-01-16,4,1,10.76294637428219,T-Shirts,XS
286,2018-01-17,4,1,11.181987754267992,T-Shirts,XS
287,2018-01-18,4,1,12.70940600154124,T-Shirts,XS
288,2018-01-19,4,1,14.716145402541208,T-Shirts,XS
289,2018-01-20,4,1,15.029061174838484,T-Shirts,XS
290,2018-01-21,4,1,18.31278264466342,T-Shirts,XS
291,2018-01-22,4,1,7.850367074916104,T-Shirts,XS
292,2018-01-23,4,1,11.192031627553948,T-Shirts,XS
293,2018-01-24,4,1,10.862245401076912,T-Shirts,XS
294,2018-01-25,4,1,13.394573608387793,T-Shirts,XS
295,2018-01-26,4,1,15.319642835467713,T-Shirts,XS
296,2018-01-27,4,1,14.954140343673842,T-Shirts,XS
297,2018-01-28,4,1,18.819398330701308,T-Shirts,XS
298,2018-01-29,4,1,8.413557474697999,T-Shirts,XS
299,2018-01-30,4,1,11.799516412998733,T-Shirts,XS
300,2018-01-31,4,1,10.696375270007938,T-Shirts,XS
301,2018-02-01,4,1,15.686470732747484,T-Shirts,XS
302,2018-02-02,4,1,17.594539395276364,T-Shirts,XS
303,2018-02-03,4,1,18.41795107957466,T-Shirts,XS
304,2018-02-04,4,1,19.91738375479465,T-Shirts,XS
305,2018-02-05,4,1,10.37381217370574,T-Shirts,XS
306,2018-02-06,4,1,13.981718573575275,T-Shirts,XS
307,2018-02-07,4,1,13.519318879255607,T-Shirts,XS
308,2018-02-08,4,1,16.291797047141863,T-Shirts,XS
309,2018-02-09,4,1,18.675658073653327,T-Shirts,XS
310,2018-02-10,4,1,18.29357509883164,T-Shirts,XS
311,2018-02-11,4,1,20.210254861614303,T-Shirts,XS
312,2018-02-12,4,1,9.920536339134063,T-Shirts,XS
313,2018-02-13,4,1,15.656625236095143,T-Shirts,XS
314,2018-02-14,4,1,13.29638126615419,T-Shirts,XS
315,2018-02-15,4,1,15.82982652052802,T-Shirts,XS
316,2018-02-16,4,1,18.643570158071363,T-Shirts,XS
317,2018-02-17,4,1,18.280389615760637,T-Shirts,XS
318,2018-02-18,4,1,19.99947294816729,T-Shirts,XS
319,2018-02-19,4,1,10.790808905375648,T-Shirts,XS
320,2018-02-20,4,1,14.26815883228515,T-Shirts,XS
321,2018-02-21,4,1,13.947220213617816,T-Shirts,XS
322,2018-02-22,4,1,15.540637976498603,T-Shirts,XS
323,2018-02-23,4,1,18.578417937645376,T-Shirts,XS
324,2018-02-24,4,1,18.60288029112616,T-Shirts,XS
325,2018-02-25,4,1,19.87524316387808,T-Shirts,XS
326,2018-02-26,4,1,10.70205534857719,T-Shirts,XS
327,2018-02-27,4,1,15.549903651324406,T-Shirts,XS
328,2018-02-28,4,1,13.564172238781834,T-Shirts,XS
329,2018-03-01,4,1,23.488612108354843,T-Shirts,XS
330,2018-03-02,4,1,24.55485518475013,T-Shirts,XS
331,2018-03-03,4,1,25.456763295946697,T-Shirts,XS
332,2018-03-04,4,1,27.86150371569518,T-Shirts,XS
333,2018-03-05,4,1,17.959950336975368,T-Shirts,XS
334,2018-03-06,4,1,22.38808608526943,T-Shirts,XS
335,2018-03-07,4,1,20.17872002016009,T-Shirts,XS
336,2018-03-08,4,1,23.556683346482835,T-Shirts,XS
337,2018-03-09,4,1,24.47796509957218,T-Shirts,XS
338,2018-03-10,4,1,26.469684456345583,T-Shirts,XS
339,2018-03-11,4,1,27.21716851934957,T-Shirts,XS
340,2018-03-12,4,1,18.19464605779928,T-Shirts,XS
341,2018-03-13,4,1,20.84300180972076,T-Shirts,XS
342,2018-03-14,4,1,21.06229928398888,T-Shirts,XS
343,2018-03-15,4,1,23.11076132974036,T-Shirts,XS
344,2018-03-16,4,1,25.510578610577323,T-Shirts,XS
345,2018-03-17,4,1,25.239591117762057,T-Shirts,XS
346,2018-03-18,4,1,27.911735520120416,T-Shirts,XS
347,2018-03-19,4,1,17.55900213227998,T-Shirts,XS
348,2018-03-20,4,1,22.17276354680426,T-Shirts,XS
349,2018-03-21,4,1,21.03526345466457,T-Shirts,XS
350,2018-03-22,4,1,23.518923547442512,T-Shirts,XS
351,2018-03-23,4,1,23.870162488470548,T-Shirts,XS
352,2018-03-24,4,1,24.25173425110593,T-Shirts,XS
353,2018-03-25,4,1,27.67192571927215,T-Shirts,XS
354,2018-03-26,4,1,18.078810650074704,T-Shirts,XS
355,2018-03-27,4,1,21.5848430979404,T-Shirts,XS
356,2018-03-28,4,1,21.35129189323572,T-Shirts,XS
357,2018-03-29,4,1,22.6294363119491,T-Shirts,XS
358,2018-03-30,4,1,26.134210981460136,T-Shirts,XS
359,2018-03-31,4,1,24.05429845702549,T-Shirts,XS
360,2018-01-01,5,1,1.4932089022132295,T-Shirts,XS
361,2018-01-02,5,1,4.073235283214714,T-Shirts,XS
362,2018-01-03,5,1,3.8459131015490975,T-Shirts,XS
363,2018-01-04,5,1,4.898639166153819,T-Shirts,XS
364,2018-01-05,5,1,5.752253480438059,T-Shirts,XS
365,2018-01-06,5,1,6.9823113790253455,T-Shirts,XS
366,2018-01-07,5,1,8.571707533696042,T-Shirts,XS
367,2018-01-08,5,1,0.8347377267622633,T-Shirts,XS
368,2018-01-09,5,1,3.597560510431812,T-Shirts,XS
369,2018-01-10,5,1,4.049789819313862,T-Shirts,XS
370,2018-01-11,5,1,4.813389700960226,T-Shirts,XS
371,2018-01-12,5,1,5.5576445601135305,T-Shirts,XS
372,2018-01-13,5,1,7.359839829518368,T-Shirts,XS
373,2018-01-14,5,1,8.60249504383327,T-Shirts,XS
374,2018-01-15,5,1,1.1585463401215748,T-Shirts,XS
375,2018-01-16,5,1,3.9447870638344273,T-Shirts,XS
376,2018-01-17,5,1,3.41490364853874,T-Shirts,XS
377,2018-01-18,5,1,4.587947604271015,T-Shirts,XS
378,2018-01-19,5,1,5.676639977516627,T-Shirts,XS
379,2018-01-20,5,1,7.326048528840165,T-Shirts,XS
380,2018-01-21,5,1,8.645895664995507,T-Shirts,XS
381,2018-01-22,5,1,1.0745901872964474,T-Shirts,XS
382,2018-01-23,5,1,4.095548601941557,T-Shirts,XS
383,2018-01-24,5,1,4.136521952729416,T-Shirts,XS
384,2018-01-25,5,1,4.857835120095928,T-Shirts,XS
385,2018-01-26,5,1,5.697564647801567,T-Shirts,XS
386,2018-01-27,5,1,7.0771105687691325,T-Shirts,XS
387,2018-01-28,5,1,8.319752640551949,T-Shirts,XS
388,2018-01-29,5,1,1.0201738163708178,T-Shirts,XS
389,2018-01-30,5,1,4.2376433473977535,T-Shirts,XS
390,2018-01-31,5,1,3.791859883043333,T-Shirts,XS
391,2018-02-01,5,1,9.652831913558147,T-Shirts,XS
392,2018-02-02,5,1,10.419035110688064,T-Shirts,XS
393,2018-02-03,5,1,12.477748542534115,T-Shirts,XS
394,2018-02-04,5,1,13.496476201016796,T-Shirts,XS
395,2018-02-05,5,1,6.063587094296249,T-Shirts,XS
396,2018-02-06,5,1,9.128750936151866,T-Shirts,XS
397,2018-02-07,5,1,9.25950516570006,T-Shirts,XS
398,2018-02-08,5,1,9.966416773734387,T-Shirts,XS
399,2018-02-09,5,1,10.53623046706355,T-Shirts,XS
400,2018-02-10,5,1,11.957433095035814,T-Shirts,XS
401,2018-02-11,5,1,12.794161515223395,T-Shirts,XS
402,2018-02-12,5,1,6.195019156755574,T-Shirts,XS
403,2018-02-13,5,1,9.21644372130408,T-Shirts,XS
404,2018-02-14,5,1,8.73080763270561,T-Shirts,XS
405,2018-02-15,5,1,10.118949093274868,T-Shirts,XS
406,2018-02-16,5,1,10.569600228503166,T-Shirts,XS
407,2018-02-17,5,1,11.925946401229249,T-Shirts,XS
408,2018-02-18,5,1,13.266647001514496,T-Shirts,XS
409,2018-02-19,5,1,6.009170009834207,T-Shirts,XS
410,2018-02-20,5,1,9.1183150049502,T-Shirts,XS
411,2018-02-21,5,1,8.709904944614042,T-Shirts,XS
412,2018-02-22,5,1,10.020861423449336,T-Shirts,XS
413,2018-02-23,5,1,10.40668617120441,T-Shirts,XS
414,2018-02-24,5,1,11.365694621665243,T-Shirts,XS
415,2018-02-25,5,1,13.419050891805522,T-Shirts,XS
416,2018-02-26,5,1,6.234940024896218,T-Shirts,XS
417,2018-02-27,5,1,8.850602660864359,T-Shirts,XS
418,2018-02-28,5,1,8.135401519588605,T-Shirts,XS
419,2018-03-01,5,1,15.38189631433542,T-Shirts,XS
420,2018-03-02,5,1,15.778177742456316,T-Shirts,XS
421,2018-03-03,5,1,17.546057276646987,T-Shirts,XS
422,2018-03-04,5,1,18.963908106493065,T-Shirts,XS
423,2018-03-05,5,1,11.457778598796253,T-Shirts,XS
424,2018-03-06,5,1,14.5336284518236,T-Shirts,XS
425,2018-03-07,5,1,14.704530314893224,T-Shirts,XS
426,2018-03-08,5,1,15.478143749963284,T-Shirts,XS
427,2018-03-09,5,1,16.415595911582074,T-Shirts,XS
428,2018-03-10,5,1,17.37455774756561,T-Shirts,XS
429,2018-03-11,5,1,18.650425184215845,T-Shirts,XS
430,2018-03-12,5,1,11.455846693751788,T-Shirts,XS
431,2018-03-13,5,1,14.487878433478867,T-Shirts,XS
432,2018-03-14,5,1,14.067133666452207,T-Shirts,XS
433,2018-03-15,5,1,14.79691933962684,T-Shirts,XS
434,2018-03-16,5,1,15.51712447297912,T-Shirts,XS
435,2018-03-17,5,1,17.65274895743668,T-Shirts,XS
436,2018-03-18,5,1,18.757117095954424,T-Shirts,XS
437,2018-03-19,5,1,11.627328375725329,T-Shirts,XS
438,2018-03-20,5,1,14.437400053022476,T-Shirts,XS
439,2018-03-21,5,1,13.828942671877064,T-Shirts,XS
440,2018-03-22,5,1,15.735405544842996,T-Shirts,XS
441,2018-03-23,5,1,16.25267926018307,T-Shirts,XS
442,2018-03-24,5,1,18.106267870141707,T-Shirts,XS
443,2018-03-25,5,1,18.468436767927525,T-Shirts,XS
444,2018-03-26,5,1,11.71306756159336,T-Shirts,XS
445,2018-03-27,5,1,14.14489072428584,T-Shirts,XS
446,2018-03-28,5,1,14.32629802808792,T-Shirts,XS
447,2018-03-29,5,1,15.38003239660054,T-Shirts,XS
448,2018-03-30,5,1,15.832515522910048,T-Shirts,XS
449,2018-03-31,5,1,17.244974728674226,T-Shirts,XS
